-0.2<=w<0 : , 149942, 159007
0<=w<-0.2 : , 175303, 162885
0.2<=w<0.4 : , 54556, 43597
0.4<=w<0.6 : , 6483, 13124
0.6<=w<0.8 : , 3282, 2272
0.8<=w<=1 : , 9291, 3655
epoch, 47
-1<=w<-0.8 : 3297, 8452
-0.8<=w<-0.6 : , 4615, 7408
-0.6<=w<-0.4 : , 12099, 16865
-0.4<=w<-0.2 : , 48452, 59536
-0.2<=w<0 : , 145456, 157766
0<=w<-0.2 : , 175630, 165649
0.2<=w<0.4 : , 52381, 43422
0.4<=w<0.6 : , 7180, 16865
0.6<=w<0.8 : , 2563, 1752
0.8<=w<=1 : , 8472, 3486
epoch, 48
-1<=w<-0.8 : 3652, 8705
-0.8<=w<-0.6 : , 4923, 8244
-0.6<=w<-0.4 : , 13596, 18390
-0.4<=w<-0.2 : , 51603, 63844
-0.2<=w<0 : , 151752, 163606
0<=w<-0.2 : , 186354, 175234
0.2<=w<0.4 : , 54083, 44904
0.4<=w<0.6 : , 7380, 18390
0.6<=w<0.8 : , 2810, 2071
0.8<=w<=1 : , 9713, 4183
epoch, 49
-1<=w<-0.8 : 3539, 8867
-0.8<=w<-0.6 : , 4838, 7617
-0.6<=w<-0.4 : , 14447, 19477
-0.4<=w<-0.2 : , 50763, 61664
-0.2<=w<0 : , 151897, 162563
0<=w<-0.2 : , 182012, 170772
0.2<=w<0.4 : , 55532, 44729
0.4<=w<0.6 : , 7767, 19477
0.6<=w<0.8 : , 2963, 1966
0.8<=w<=1 : , 8900, 3659
epoch, 50
-1<=w<-0.8 : 3438, 8879
-0.8<=w<-0.6 : , 4963, 7818
-0.6<=w<-0.4 : , 14264, 19664
-0.4<=w<-0.2 : , 46307, 57041
-0.2<=w<0 : , 156158, 168996
0<=w<-0.2 : , 181627, 170605
0.2<=w<0.4 : , 55114, 45514
0.4<=w<0.6 : , 7348, 19664
0.6<=w<0.8 : , 2663, 1911
0.8<=w<=1 : , 9407, 4048
epoch, 51
-1<=w<-0.8 : 3422, 8694
-0.8<=w<-0.6 : , 5161, 8143
-0.6<=w<-0.4 : , 11197, 15262
-0.4<=w<-0.2 : , 49398, 60361
-0.2<=w<0 : , 147998, 157812
0<=w<-0.2 : , 186233, 173024
0.2<=w<0.4 : , 52464, 42005
0.4<=w<0.6 : , 6204, 15262
0.6<=w<0.8 : , 3151, 2070
0.8<=w<=1 : , 9246, 3837
epoch, 52
-1<=w<-0.8 : 3433, 8614
-0.8<=w<-0.6 : , 4802, 7612
-0.6<=w<-0.4 : , 11729, 16062
-0.4<=w<-0.2 : , 52523, 63912
-0.2<=w<0 : , 149746, 159880
0<=w<-0.2 : , 180878, 168742
0.2<=w<0.4 : , 54222, 44085
0.4<=w<0.6 : , 8373, 16062
0.6<=w<0.8 : , 2066, 1384
0.8<=w<=1 : , 9150, 3766
epoch, 53
-1<=w<-0.8 : 3414, 8559
-0.8<=w<-0.6 : , 4759, 7304
-0.6<=w<-0.4 : , 13257, 17974
-0.4<=w<-0.2 : , 47802, 58119
-0.2<=w<0 : , 150749, 162137
0<=w<-0.2 : , 181960, 171185
0.2<=w<0.4 : , 52316, 42548
0.4<=w<0.6 : , 8399, 17974
0.6<=w<0.8 : , 2262, 1404
0.8<=w<=1 : , 8573, 3600
epoch, 54
-1<=w<-0.8 : 3304, 8668
-0.8<=w<-0.6 : , 4422, 7128
-0.6<=w<-0.4 : , 9903, 13254
-0.4<=w<-0.2 : , 52078, 63300
-0.2<=w<0 : , 145571, 155936
0<=w<-0.2 : , 179055, 166786
0.2<=w<0.4 : , 52717, 42537
0.4<=w<0.6 : , 7843, 13254
0.6<=w<0.8 : , 2608, 1711
0.8<=w<=1 : , 8456, 3529
epoch, 55
-1<=w<-0.8 : 3452, 8675
-0.8<=w<-0.6 : , 4137, 6578
-0.6<=w<-0.4 : , 13231, 18077
-0.4<=w<-0.2 : , 46985, 56753
-0.2<=w<0 : , 150226, 160626
0<=w<-0.2 : , 174873, 164119
0.2<=w<0.4 : , 50889, 41491
0.4<=w<0.6 : , 7847, 18077
0.6<=w<0.8 : , 3059, 1902
0.8<=w<=1 : , 7747, 3100
epoch, 56
-1<=w<-0.8 : 3351, 8668
