0.8<=w<=1 : , 2582, 134
epoch, 46
IH, 0.725673, HO, 0.872571
-1<=w<-0.8 : 6813, 346
-0.8<=w<-0.6 : , 66, 2252
-0.6<=w<-0.4 : , 0, 413
-0.4<=w<-0.2 : , 0, 2096
-0.2<=w<0 : , 0, 238
0<=w<-0.2 : , , 2, 68
0.2<=w<0.4 : , 2, 1783
0.4<=w<0.6 : , 2, 97
0.6<=w<0.8 : , 41, 1818
0.8<=w<=1 : , 2583, 134
epoch, 47
IH, 0.729758, HO, 0.863519
-1<=w<-0.8 : 6843, 334
-0.8<=w<-0.6 : , 65, 2250
-0.6<=w<-0.4 : , 0, 413
-0.4<=w<-0.2 : , 0, 2095
-0.2<=w<0 : , 0, 237
0<=w<-0.2 : , , 1, 68
0.2<=w<0.4 : , 3, 1783
0.4<=w<0.6 : , 1, 97
0.6<=w<0.8 : , 42, 1819
0.8<=w<=1 : , 2583, 132
epoch, 48
IH, 0.726886, HO, 0.868609
-1<=w<-0.8 : 6859, 339
-0.8<=w<-0.6 : , 66, 2245
-0.6<=w<-0.4 : , 0, 412
-0.4<=w<-0.2 : , 0, 2093
-0.2<=w<0 : , 0, 237
0<=w<-0.2 : , , 2, 68
0.2<=w<0.4 : , 2, 1782
0.4<=w<0.6 : , 2, 97
0.6<=w<0.8 : , 41, 1819
0.8<=w<=1 : , 2580, 132
epoch, 49
IH, 0.72776, HO, 0.860698
-1<=w<-0.8 : 6861, 351
-0.8<=w<-0.6 : , 69, 2240
-0.6<=w<-0.4 : , 0, 411
-0.4<=w<-0.2 : , 0, 2091
-0.2<=w<0 : , 0, 237
0<=w<-0.2 : , , 2, 68
0.2<=w<0.4 : , 2, 1780
0.4<=w<0.6 : , 2, 97
0.6<=w<0.8 : , 42, 1818
0.8<=w<=1 : , 2580, 130
epoch, 50
IH, 0.709883, HO, 0.864601
-1<=w<-0.8 : 6884, 349
-0.8<=w<-0.6 : , 69, 2236
-0.6<=w<-0.4 : , 0, 411
-0.4<=w<-0.2 : , 0, 2090
-0.2<=w<0 : , 0, 237
0<=w<-0.2 : , , 2, 68
0.2<=w<0.4 : , 2, 1777
0.4<=w<0.6 : , 1, 97
0.6<=w<0.8 : , 43, 1818
0.8<=w<=1 : , 2579, 128
epoch, 51
IH, 0.724731, HO, 0.862633
-1<=w<-0.8 : 6901, 347
-0.8<=w<-0.6 : , 71, 2234
-0.6<=w<-0.4 : , 0, 411
-0.4<=w<-0.2 : , 0, 2089
-0.2<=w<0 : , 0, 237
0<=w<-0.2 : , , 2, 68
0.2<=w<0.4 : , 2, 1775
0.4<=w<0.6 : , 1, 97
0.6<=w<0.8 : , 43, 1817
0.8<=w<=1 : , 2580, 126
epoch, 52
IH, 0.715352, HO, 0.855442
-1<=w<-0.8 : 6932, 336
-0.8<=w<-0.6 : , 70, 2233
-0.6<=w<-0.4 : , 0, 409
-0.4<=w<-0.2 : , 0, 2089
-0.2<=w<0 : , 0, 238
0<=w<-0.2 : , , 2, 68
0.2<=w<0.4 : , 2, 1773
0.4<=w<0.6 : , 2, 98
0.6<=w<0.8 : , 42, 1815
0.8<=w<=1 : , 2579, 126
epoch, 53
IH, 0.710753, HO, 0.852866
-1<=w<-0.8 : 6925, 363
-0.8<=w<-0.6 : , 70, 2232
-0.6<=w<-0.4 : , 0, 409
-0.4<=w<-0.2 : , 0, 2088
-0.2<=w<0 : , 0, 238
0<=w<-0.2 : , , 2, 68
0.2<=w<0.4 : , 2, 1772
0.4<=w<0.6 : , 1, 98
0.6<=w<0.8 : , 44, 1813
0.8<=w<=1 : , 2580, 126
epoch, 54
IH, 0.721311, HO, 0.853345
-1<=w<-0.8 : 6946, 354
-0.8<=w<-0.6 : , 72, 2231
-0.6<=w<-0.4 : , 0, 408
-0.4<=w<-0.2 : , 0, 2087
-0.2<=w<0 : , 0, 237
0<=w<-0.2 : , , 2, 68
0.2<=w<0.4 : , 2, 1771
0.4<=w<0.6 : , 2, 98
0.6<=w<0.8 : , 43, 1813
0.8<=w<=1 : , 2580, 125
epoch, 55
IH, 0.727876, HO, 0.849089
-1<=w<-0.8 : 6973, 337
-0.8<=w<-0.6 : , 73, 2230
-0.6<=w<-0.4 : , 0, 407
-0.4<=w<-0.2 : , 0, 2086
-0.2<=w<0 : , 0, 237
0<=w<-0.2 : , , 2, 68
0.2<=w<0.4 : , 2, 1770
