0.6<=w<0.8 : , 5196, 0
0.8<=w<=1 : , 7685, 0
epoch, 53
-1<=w<-0.8 : 7638, 0
-0.8<=w<-0.6 : , 7967, 0
-0.6<=w<-0.4 : , 20479, 0
-0.4<=w<-0.2 : , 89411, 0
-0.2<=w<0 : , 235962, 0
0<=w<-0.2 : , 263678, 0
0.2<=w<0.4 : , 67214, 0
0.4<=w<0.6 : , 8961, 0
0.6<=w<0.8 : , 5152, 0
0.8<=w<=1 : , 7439, 0
epoch, 54
-1<=w<-0.8 : 7834, 0
-0.8<=w<-0.6 : , 8013, 0
-0.6<=w<-0.4 : , 19114, 0
-0.4<=w<-0.2 : , 84645, 0
-0.2<=w<0 : , 227693, 0
0<=w<-0.2 : , 261226, 0
0.2<=w<0.4 : , 65593, 0
0.4<=w<0.6 : , 9099, 0
0.6<=w<0.8 : , 5049, 0
0.8<=w<=1 : , 7388, 0
epoch, 55
-1<=w<-0.8 : 7590, 0
-0.8<=w<-0.6 : , 9541, 0
-0.6<=w<-0.4 : , 18658, 0
-0.4<=w<-0.2 : , 84315, 0
-0.2<=w<0 : , 228758, 0
0<=w<-0.2 : , 259506, 0
0.2<=w<0.4 : , 62322, 0
0.4<=w<0.6 : , 9511, 0
0.6<=w<0.8 : , 4980, 0
0.8<=w<=1 : , 7102, 0
epoch, 56
-1<=w<-0.8 : 7711, 0
-0.8<=w<-0.6 : , 8332, 0
-0.6<=w<-0.4 : , 19594, 0
-0.4<=w<-0.2 : , 81291, 0
-0.2<=w<0 : , 228343, 0
0<=w<-0.2 : , 258131, 0
0.2<=w<0.4 : , 65008, 0
0.4<=w<0.6 : , 10243, 0
0.6<=w<0.8 : , 3868, 0
0.8<=w<=1 : , 7732, 0
epoch, 57
-1<=w<-0.8 : 8413, 0
-0.8<=w<-0.6 : , 8291, 0
-0.6<=w<-0.4 : , 18859, 0
-0.4<=w<-0.2 : , 91892, 0
-0.2<=w<0 : , 228939, 0
0<=w<-0.2 : , 267148, 0
0.2<=w<0.4 : , 69289, 0
0.4<=w<0.6 : , 10227, 0
0.6<=w<0.8 : , 5578, 0
0.8<=w<=1 : , 7217, 0
epoch, 58
-1<=w<-0.8 : 7992, 0
-0.8<=w<-0.6 : , 8605, 0
-0.6<=w<-0.4 : , 21064, 0
-0.4<=w<-0.2 : , 93447, 0
-0.2<=w<0 : , 236998, 0
0<=w<-0.2 : , 275430, 0
0.2<=w<0.4 : , 71035, 0
0.4<=w<0.6 : , 10353, 0
0.6<=w<0.8 : , 5289, 0
0.8<=w<=1 : , 7498, 0
epoch, 59
-1<=w<-0.8 : 7595, 0
-0.8<=w<-0.6 : , 8225, 0
-0.6<=w<-0.4 : , 20132, 0
-0.4<=w<-0.2 : , 83848, 0
-0.2<=w<0 : , 219965, 0
0<=w<-0.2 : , 258620, 0
0.2<=w<0.4 : , 67670, 0
0.4<=w<0.6 : , 10383, 0
0.6<=w<0.8 : , 4119, 0
0.8<=w<=1 : , 7035, 0
epoch, 60
-1<=w<-0.8 : 7238, 0
-0.8<=w<-0.6 : , 8849, 0
-0.6<=w<-0.4 : , 18032, 0
-0.4<=w<-0.2 : , 94121, 0
-0.2<=w<0 : , 234371, 0
0<=w<-0.2 : , 266368, 0
0.2<=w<0.4 : , 71050, 0
0.4<=w<0.6 : , 10863, 0
0.6<=w<0.8 : , 4320, 0
0.8<=w<=1 : , 7517, 0
epoch, 61
-1<=w<-0.8 : 7547, 0
-0.8<=w<-0.6 : , 8211, 0
-0.6<=w<-0.4 : , 17886, 0
-0.4<=w<-0.2 : , 90232, 0
-0.2<=w<0 : , 227226, 0
0<=w<-0.2 : , 268800, 0
0.2<=w<0.4 : , 68633, 0
0.4<=w<0.6 : , 10600, 0
0.6<=w<0.8 : , 3297, 0
0.8<=w<=1 : , 7868, 0
epoch, 62
-1<=w<-0.8 : 7431, 0
-0.8<=w<-0.6 : , 8819, 0
-0.6<=w<-0.4 : , 21655, 0
-0.4<=w<-0.2 : , 83712, 0
-0.2<=w<0 : , 214250, 0
0<=w<-0.2 : , 253713, 0
0.2<=w<0.4 : , 68519, 0
0.4<=w<0.6 : , 9802, 0
0.6<=w<0.8 : , 4067, 0
0.8<=w<=1 : , 6692, 0
epoch, 63
-1<=w<-0.8 : 7754, 0
-0.8<=w<-0.6 : , 8882, 0
-0.6<=w<-0.4 : , 22823, 0
-0.4<=w<-0.2 : , 79043, 0
-0.2<=w<0 : , 235561, 0
0<=w<-0.2 : , 262172, 0
0.2<=w<0.4 : , 71827, 0
0.4<=w<0.6 : , 8889, 0
0.6<=w<0.8 : , 3312, 0
0.8<=w<=1 : , 8489, 0
epoch, 64
-1<=w<-0.8 : 7794, 0
-0.8<=w<-0.6 : , 8656, 0
-0.6<=w<-0.4 : , 21597, 0
-0.4<=w<-0.2 : , 84227, 0
-0.2<=w<0 : , 231733, 0
0<=w<-0.2 : , 266753, 0
0.2<=w<0.4 : , 67323, 0
0.4<=w<0.6 : , 9101, 0
0.6<=w<0.8 : , 5445, 0
0.8<=w<=1 : , 6470, 0
epoch, 65
-1<=w<-0.8 : 7522, 0
-0.8<=w<-0.6 : , 9790, 0
-0.6<=w<-0.4 : , 22169, 0
-0.4<=w<-0.2 : , 85302, 0
-0.2<=w<0 : , 241076, 0
0<=w<-0.2 : , 271431, 0
0.2<=w<0.4 : , 71681, 0
0.4<=w<0.6 : , 10091, 0
0.6<=w<0.8 : , 5500, 0
0.8<=w<=1 : , 6584, 0
epoch, 66
-1<=w<-0.8 : 7423, 0
-0.8<=w<-0.6 : , 9388, 0
-0.6<=w<-0.4 : , 20866, 0
-0.4<=w<-0.2 : , 82795, 0
-0.2<=w<0 : , 233869, 0
0<=w<-0.2 : , 263117, 0
0.2<=w<0.4 : , 68338, 0
0.4<=w<0.6 : , 8837, 0
0.6<=w<0.8 : , 5092, 0
0.8<=w<=1 : , 6550, 0
epoch, 67
-1<=w<-0.8 : 7376, 0
-0.8<=w<-0.6 : , 8489, 0
-0.6<=w<-0.4 : , 21540, 0
-0.4<=w<-0.2 : , 84787, 0
-0.2<=w<0 : , 231309, 0
0<=w<-0.2 : , 274674, 0
0.2<=w<0.4 : , 68496, 0
0.4<=w<0.6 : , 9326, 0
0.6<=w<0.8 : , 4428, 0
