param->optimization_type, NL_LTP_Gp, NL_LTD_Gp, NL_LTP_Gn, NL_LTD_Gn, kp, kd, knp, knd, pLA, nLA, pLAd,nLAd, pof, nof, newUpdateRate, nnewUpdateRate, ReverseUpdate, RefreshRate, FullRefresh, dominance, epoch, accuracy, average accuracy, standard deviation, adaptive ratio, area sizeIH, area sizeHO, learningratesplit, Gth1, Gth2, usesplitadapt, unitcellsplit, saturationprotector, destructionprotector, deltaweightratio, usesplit, adaptivesplit Gth1, adaptivesplit Gth2
SGD, 2, -5, 2, -5, 128, 128, 128, 128, 0.3, 0.3, 0.3,0.3, inf, inf, 3, 3, 1, 4000, 0, 0, 75, 89.22, 89.7328, 1.85719, 1.0012, 100, 10, 3, 1, 7, 0, 1, 1.2, 0, 1.2, 1, 1, 7
SGD, 2, -5, 2, -5, 128, 128, 128, 128, 0.3, 0.3, 0.3,0.3, inf, inf, 3, 3, 1, 4000, 0, 0, 76, 87.35, 87.35, 0, 1.0012, 100, 10, 3, 1, 7, 0, 1, 1.2, 0, 1.2, 1, 1, 7
SGD, 2, -5, 2, -5, 128, 128, 128, 128, 0.3, 0.3, 0.3,0.3, inf, inf, 3, 3, 1, 4000, 0, 0, 77, 90.12, 88.735, 1.385, 1.0012, 100, 10, 3, 1, 7, 0, 1, 1.2, 0, 1.2, 1, 1, 7
SGD, 2, -5, 2, -5, 128, 128, 128, 128, 0.3, 0.3, 0.3,0.3, inf, inf, 3, 3, 1, 4000, 0, 0, 78, 90.14, 89.2033, 1.31053, 1.0012, 100, 10, 3, 1, 7, 0, 1, 1.2, 0, 1.2, 1, 1, 7
SGD, 2, -5, 2, -5, 128, 128, 128, 128, 0.3, 0.3, 0.3,0.3, inf, inf, 3, 3, 1, 4000, 0, 0, 79, 85.51, 88.28, 1.96106, 1.0012, 100, 10, 3, 1, 7, 0, 1, 1.2, 0, 1.2, 1, 1, 7
SGD, 2, -5, 2, -5, 128, 128, 128, 128, 0.3, 0.3, 0.3,0.3, inf, inf, 3, 3, 1, 4000, 0, 0, 80, 89.16, 88.456, 1.789, 1.0012, 100, 10, 3, 1, 7, 0, 1, 1.2, 0, 1.2, 1, 1, 7
SGD, 2, -5, 2, -5, 128, 128, 128, 128, 0.3, 0.3, 0.3,0.3, inf, inf, 3, 3, 1, 4000, 0, 0, 81, 89.79, 88.6783, 1.70712, 1.0012, 100, 10, 3, 1, 7, 0, 1, 1.2, 0, 1.2, 1, 1, 7
SGD, 2, -5, 2, -5, 128, 128, 128, 128, 0.3, 0.3, 0.3,0.3, inf, inf, 3, 3, 1, 4000, 0, 0, 82, 86.46, 88.3614, 1.76082, 1.0012, 100, 10, 3, 1, 7, 0, 1, 1.2, 0, 1.2, 1, 1, 7
SGD, 2, -5, 2, -5, 128, 128, 128, 128, 0.3, 0.3, 0.3,0.3, inf, inf, 3, 3, 1, 4000, 0, 0, 83, 90.05, 88.5725, 1.73919, 1.0012, 100, 10, 3, 1, 7, 0, 1, 1.2, 0, 1.2, 1, 1, 7
SGD, 2, -5, 2, -5, 128, 128, 128, 128, 0.3, 0.3, 0.3,0.3, inf, inf, 3, 3, 1, 4000, 0, 0, 84, 91.19, 88.8633, 1.8345, 1.0012, 100, 10, 3, 1, 7, 0, 1, 1.2, 0, 1.2, 1, 1, 7
SGD, 2, -5, 2, -5, 128, 128, 128, 128, 0.3, 0.3, 0.3,0.3, inf, inf, 3, 3, 1, 4000, 0, 0, 85, 89.3, 88.907, 1.74528, 1.0012, 100, 10, 3, 1, 7, 0, 1, 1.2, 0, 1.2, 1, 1, 7
SGD, 2, -5, 2, -5, 128, 128, 128, 128, 0.3, 0.3, 0.3,0.3, inf, inf, 3, 3, 1, 4000, 0, 0, 86, 88.45, 88.8655, 1.66924, 1.0012, 100, 10, 3, 1, 7, 0, 1, 1.2, 0, 1.2, 1, 1, 7
SGD, 2, -5, 2, -5, 128, 128, 128, 128, 0.3, 0.3, 0.3,0.3, inf, inf, 3, 3, 1, 4000, 0, 0, 87, 90.96, 89.04, 1.69979, 1.0012, 100, 10, 3, 1, 7, 0, 1, 1.2, 0, 1.2, 1, 1, 7
SGD, 2, -5, 2, -5, 128, 128, 128, 128, 0.3, 0.3, 0.3,0.3, inf, inf, 3, 3, 1, 4000, 0, 0, 88, 90.3, 89.1369, 1.66726, 1.0012, 100, 10, 3, 1, 7, 0, 1, 1.2, 0, 1.2, 1, 1, 7
SGD, 2, -5, 2, -5, 128, 128, 128, 128, 0.3, 0.3, 0.3,0.3, inf, inf, 3, 3, 1, 4000, 0, 0, 89, 90.12, 89.2071, 1.62644, 1.0012, 100, 10, 3, 1, 7, 0, 1, 1.2, 0, 1.2, 1, 1, 7
SGD, 2, -5, 2, -5, 128, 128, 128, 128, 0.3, 0.3, 0.3,0.3, inf, inf, 3, 3, 1, 4000, 0, 0, 90, 88.62, 89.168, 1.5781, 1.0012, 100, 10, 3, 1, 7, 0, 1, 1.2, 0, 1.2, 1, 1, 7
