param->optimization_type, NL_LTP_Gp, NL_LTD_Gp, NL_LTP_Gn, NL_LTD_Gn, kp, kd, knp, knd, pLA, nLA, pLAd,nLAd, pof, nof, newUpdateRate, nnewUpdateRate, ReverseUpdate, RefreshRate, FullRefresh, dominance, epoch, accuracy, average accuracy, standard deviation, adaptive ratio, area sizeIH, area sizeHO, learningratesplit, Gth1, Gth2, usesplitadapt, unitcellsplit, saturationprotector, destructionprotector, deltaweightratio, usesplit, adaptivesplit Gth1, adaptivesplit Gth2
SGD, 2, -5, 2, -5, 128, 128, 128, 128, 0.2, 0.2, 0.2,0.2, inf, inf, 2, 2, 0, 100, 1, 0, 7, 89.14, 80.7014, 11.4665, 1.0012, 100, 10, 3, 1, 7, 0, 0, 3, 1, 0, 0, 1, 7
SGD, 2, -5, 2, -5, 128, 128, 128, 128, 0.2, 0.2, 0.2,0.2, inf, inf, 2, 2, 0, 100, 1, 0, 8, 89.82, 81.8413, 11.1418, 1.0012, 100, 10, 3, 1, 7, 0, 0, 3, 1, 0, 0, 1, 7
SGD, 2, -5, 2, -5, 128, 128, 128, 128, 0.2, 0.2, 0.2,0.2, inf, inf, 2, 2, 0, 100, 1, 0, 9, 90.36, 82.7878, 10.8403, 1.0012, 100, 10, 3, 1, 7, 0, 0, 3, 1, 0, 0, 1, 7
SGD, 2, -5, 2, -5, 128, 128, 128, 128, 0.2, 0.2, 0.2,0.2, inf, inf, 2, 2, 0, 100, 1, 0, 10, 90.42, 83.551, 10.5359, 1.0012, 100, 10, 3, 1, 7, 0, 0, 3, 1, 0, 0, 1, 7
SGD, 2, -5, 2, -5, 128, 128, 128, 128, 0.2, 0.2, 0.2,0.2, inf, inf, 2, 2, 0, 100, 1, 0, 11, 89.7, 84.11, 10.1999, 1.0012, 100, 10, 3, 1, 7, 0, 0, 3, 1, 0, 0, 1, 7
SGD, 2, -5, 2, -5, 128, 128, 128, 128, 0.2, 0.2, 0.2,0.2, inf, inf, 2, 2, 0, 100, 1, 0, 12, 90.66, 84.6558, 9.93203, 1.0012, 100, 10, 3, 1, 7, 0, 0, 3, 1, 0, 0, 1, 7
SGD, 2, -5, 2, -5, 128, 128, 128, 128, 0.2, 0.2, 0.2,0.2, inf, inf, 2, 2, 0, 100, 1, 0, 13, 90.94, 85.1392, 9.6882, 1.0012, 100, 10, 3, 1, 7, 0, 0, 3, 1, 0, 0, 1, 7
SGD, 2, -5, 2, -5, 128, 128, 128, 128, 0.2, 0.2, 0.2,0.2, inf, inf, 2, 2, 0, 100, 1, 0, 14, 91.7, 85.6079, 9.48746, 1.0012, 100, 10, 3, 1, 7, 0, 0, 3, 1, 0, 0, 1, 7
SGD, 2, -5, 2, -5, 128, 128, 128, 128, 0.2, 0.2, 0.2,0.2, inf, inf, 2, 2, 0, 100, 1, 0, 15, 90.5, 85.934, 9.24663, 1.0012, 100, 10, 3, 1, 7, 0, 0, 3, 1, 0, 0, 1, 7
SGD, 2, -5, 2, -5, 128, 128, 128, 128, 0.2, 0.2, 0.2,0.2, inf, inf, 2, 2, 0, 100, 1, 0, 16, 90.61, 86.2262, 9.02428, 1.0012, 100, 10, 3, 1, 7, 0, 0, 3, 1, 0, 0, 1, 7
SGD, 2, -5, 2, -5, 128, 128, 128, 128, 0.2, 0.2, 0.2,0.2, inf, inf, 2, 2, 0, 100, 1, 0, 17, 87.11, 86.2782, 8.7573, 1.0012, 100, 10, 3, 1, 7, 0, 0, 3, 1, 0, 0, 1, 7
SGD, 2, -5, 2, -5, 128, 128, 128, 128, 0.2, 0.2, 0.2,0.2, inf, inf, 2, 2, 0, 100, 1, 0, 18, 90.31, 86.5022, 8.56053, 1.0012, 100, 10, 3, 1, 7, 0, 0, 3, 1, 0, 0, 1, 7
SGD, 2, -5, 2, -5, 128, 128, 128, 128, 0.2, 0.2, 0.2,0.2, inf, inf, 2, 2, 0, 100, 1, 0, 19, 91.34, 86.7568, 8.40194, 1.0012, 100, 10, 3, 1, 7, 0, 0, 3, 1, 0, 0, 1, 7
SGD, 2, -5, 2, -5, 128, 128, 128, 128, 0.2, 0.2, 0.2,0.2, inf, inf, 2, 2, 0, 100, 1, 0, 20, 90.15, 86.9265, 8.22253, 1.0012, 100, 10, 3, 1, 7, 0, 0, 3, 1, 0, 0, 1, 7
SGD, 2, -5, 2, -5, 128, 128, 128, 128, 0.2, 0.2, 0.2,0.2, inf, inf, 2, 2, 0, 100, 1, 0, 21, 91.81, 87.159, 8.09148, 1.0012, 100, 10, 3, 1, 7, 0, 0, 3, 1, 0, 0, 1, 7
SGD, 2, -5, 2, -5, 128, 128, 128, 128, 0.2, 0.2, 0.2,0.2, inf, inf, 2, 2, 0, 100, 1, 0, 22, 91.42, 87.3527, 7.95511, 1.0012, 100, 10, 3, 1, 7, 0, 0, 3, 1, 0, 0, 1, 7
SGD, 2, -5, 2, -5, 128, 128, 128, 128, 0.2, 0.2, 0.2,0.2, inf, inf, 2, 2, 0, 100, 1, 0, 23, 91.3, 87.5243, 7.82178, 1.0012, 100, 10, 3, 1, 7, 0, 0, 3, 1, 0, 0, 1, 7
SGD, 2, -5, 2, -5, 128, 128, 128, 128, 0.2, 0.2, 0.2,0.2, inf, inf, 2, 2, 0, 100, 1, 0, 24, 91.13, 87.6746, 7.69092, 1.0012, 100, 10, 3, 1, 7, 0, 0, 3, 1, 0, 0, 1, 7
SGD, 2, -5, 2, -5, 128, 128, 128, 128, 0.2, 0.2, 0.2,0.2, inf, inf, 2, 2, 0, 100, 1, 0, 25, 90.17, 87.7744, 7.55138, 1.0012, 100, 10, 3, 1, 7, 0, 0, 3, 1, 0, 0, 1, 7
SGD, 2, -5, 2, -5, 128, 128, 128, 128, 0.2, 0.2, 0.2,0.2, inf, inf, 2, 2, 0, 100, 1, 0, 26, 90.71, 90.71, 0, 1.0012, 100, 10, 3, 1, 7, 0, 0, 3, 1, 0, 0, 1, 7
SGD, 2, -5, 2, -5, 128, 128, 128, 128, 0.2, 0.2, 0.2,0.2, inf, inf, 2, 2, 0, 100, 1, 0, 27, 90.96, 90.835, 0.125, 1.0012, 100, 10, 3, 1, 7, 0, 0, 3, 1, 0, 0, 1, 7
SGD, 2, -5, 2, -5, 128, 128, 128, 128, 0.2, 0.2, 0.2,0.2, inf, inf, 2, 2, 0, 100, 1, 0, 28, 91.92, 91.1967, 0.521557, 1.0012, 100, 10, 3, 1, 7, 0, 0, 3, 1, 0, 0, 1, 7
SGD, 2, -5, 2, -5, 128, 128, 128, 128, 0.2, 0.2, 0.2,0.2, inf, inf, 2, 2, 0, 100, 1, 0, 29, 90.91, 91.125, 0.468428, 1.0012, 100, 10, 3, 1, 7, 0, 0, 3, 1, 0, 0, 1, 7
SGD, 2, -5, 2, -5, 128, 128, 128, 128, 0.2, 0.2, 0.2,0.2, inf, inf, 2, 2, 0, 100, 1, 0, 30, 90.01, 90.902, 0.611928, 1.0012, 100, 10, 3, 1, 7, 0, 0, 3, 1, 0, 0, 1, 7
SGD, 2, -5, 2, -5, 128, 128, 128, 128, 0.2, 0.2, 0.2,0.2, inf, inf, 2, 2, 0, 100, 1, 0, 31, 92.09, 91.1, 0.712788, 1.0012, 100, 10, 3, 1, 7, 0, 0, 3, 1, 0, 0, 1, 7
